Number,Folder Name,Scenario,QA_TH,QA_EN,Expected_TH,Expected_EN,Rubric_TH
1,Temple_DressCode,แต่งกายไม่เหมาะสมจะเข้าวัด (คลุมไหล่/กระโปรง),ในสถานการณ์นี้ ควรทำอย่างไรต่อไป หากเธอต้องการจะเข้าไปในโบสถ์,"In this situation, what should she do next if she wants to enter the temple hall?","ยืมผ้าคลุม/ผ้าถุง, แต่งกายให้มิดชิด, ถอดรองเท้าก่อนเข้า","borrow a shawl/long skirt, dress modestly, remove shoes",ปรับการแต่งกายให้เหมาะสม (คลุมไหล่/ใส่กระโปรงยาว) และถอดรองเท้าก่อนเข้า
2,Women_MonkEtiquette,ผู้หญิงไม่สัมผัสพระ,เธอควรถวายของให้พระอย่างไร,How should she offer the item to the monk,"ใช้ผ้ารับของ/พาน, วางให้, เว้นระยะ","use offering cloth/tray, place it down, keep distance",ใช้สื่อกลาง (พาน/ผ้า) และเว้นการสัมผัสตรง
3,No_HeadTouch,ไม่แตะหัวเด็กหรือผู้ใหญ่,นี่เป็นวิธีที่เหมาะสมในการแสดงความรักระหว่างนักเรียนกับครูอย่างให้ความเคารพหรือไม่,Is this an appropriate way of showing affection respectfully between student and teacher?,"ยิ้ม/ชมเชยด้วยคำพูด, แตะไหล่เบาๆ (ถ้าเหมาะสม), เว้นการแตะหัว","smile/praise verbally, gentle shoulder touch (if appropriate), avoid the head",หลีกเลี่ยงการแตะศีรษะ ใช้คำพูดหรือท่าทางสุภาพแทน
4,Greeting_Wai,การทักทาย: ไหว้แทนจับมือ,ทั้งสองคนควรทักทายอย่างไร,How should these two people greet each other?,"ไหว้, กล่าวสวัสดี/คำสุภาพ","wai, polite greeting",ยกมือไหว้พร้อมคำทักทายสุภาพ
5,National_Anthem,ยืนเมื่อเพลงชาติ/สรรเสริญพระบารมี,เมื่อเพลงดังขึ้น คุณควรทำอย่างไรต่อไป,"When the anthem starts, what should you do next?","หยุดเดิน, ยืนตรง/นิ่ง, แสดงความเคารพ","stop walking, stand still, show respect",หยุดและยืนอย่างสงบจนเพลงจบ
6,Shared_Spoon,ใช้ช้อนกลาง,ควรตักอาหารจากจานกลางอย่างไร,How should they take food from shared dishes?,"ใช้ช้อนกลาง, ไม่ใช้ช้อนตัวเองตัก","use the serving spoon, not your own spoon",ใช้ช้อนกลางทุกครั้งที่ตักจากจานกลาง
7,Public_Affection,งดแสดงความรักมากเกินไปในที่สาธารณะ (PDA),มีอะไรที่ไม่เหมาะสมในสถานการณ์นี้หรือไม่,Is there anything inappropriate in this situation?,"สำรวม, เว้นการกอดจูบโจ่งแจ้ง","be discreet, avoid overt PDA",หลีกเลี่ยง PDA ที่เด่นชัด รักษาความสำรวม
8,Teacher_Respect,ครูเข้าห้อง นักเรียนยืนทำความเคารพ,นักเรียนควรทำอย่างไรต่อไป,What should students do next?,"ยืนขึ้น, ไหว้/กล่าวคำ, นั่งเมื่อได้รับอนุญาต","stand up, wai/greet, sit when allowed",ยืนพร้อมกล่าวคำทำความเคารพ
9,Quiet_BTS,พูดเสียงเบาบน BTS,มีอะไรที่ไม่เหมาะสมในสถานการณ์นี้หรือไม่,Is there anything inappropriate in this situation?,"พูดเสียงเบา, เกรงใจผู้โดยสาร","lower your voice, be considerate",ลดเสียงพูดให้เหมาะสมกับพื้นที่สาธารณะ
10,Bus_MonkSeat,ลุกให้พระบนรถเมล์,ผู้โดยสารควรทำอย่างไรต่อไป,What should a passenger do next?,"ลุกให้ที่นั่ง, แสดงความเคารพ","offer your seat, show respect",ลุกให้ที่นั่งกับพระภิกษุ
11,Bus_ElderlySeat,ลุกให้ผู้สูงอายุบนรถ,ผู้โดยสารควรทำอย่างไรต่อไป,What should a passenger do next?,"ลุกให้ที่นั่ง, ช่วยพยุง","give up your seat, assist if needed",สละที่นั่งให้ผู้สูงอายุ
12,Respect_Bow,ก้มหัวเล็กน้อยเมื่อเดินผ่านผู้ใหญ่,นักเรียนต้องปฏิบัติตัวอย่างไร,How should the student behave next?,"ก้มหัว/หลบไหล่เล็กน้อย, กล่าวขอโทษ/ขอทางเบาๆ","slight bow/shoulder dip, softly excuse yourself",ก้มหัวเล็กน้อยและกล่าวขอทางสุภาพ
